Reward,Throughput,Latancy,BLER,PRBs,Each_time,Totel_time
2.17952,217.952,2002.09105,0.238344,1.094,0.319816589,40.02983761
2.353408,235.3408,2051.49554,0.229326,1.175,0.479858875,40.18987989
2.006608,200.6608,2118.37701,0.221062,1.01,0.160067558,40.34994936
2.640712,264.0712,2134.38666,0.234906,1.327,0.320535421,40.51041722
2.207032,220.7032,2213.72787,0.265864,1.096,0.485622168,40.67550397
2.500232,250.0232,2262.52384,0.249622,1.2,0.158656359,40.83416224
2.100136,210.0136,2329.15821,0.235352,1.039,0.31741643,40.99292231
2.567328,256.7328,2345.61567,0.242114,1.274,0.476382017,41.15188789
2.541568,254.1568,2133.65367,0.313592,1.196,0.159063816,41.31095338
2.116312,211.6312,2064.09094,0.397966,1.015,0.31906867,41.47095823
2.43604,243.604,2099.66172,0.359576,1.192,0.478913307,41.63080287
2.268736,226.8736,2139.45633,0.295786,1.13,0.159790516,41.79059553
2.411576,241.1576,2007.2597,0.243398,1.21,0.319639206,41.95044422
2.389128,238.9128,2001.28101,0.229616,1.212,0.479623556,42.11042857
2.500384,250.0384,2033.68335,0.238742,1.188,0.16058135,42.27101207
2.145824,214.5824,2080.30569,0.238118,1.083,0.321119547,42.43155026
2.417544,241.7544,2117.61935,0.199172,1.212,0.481492996,42.59192371
2.273744,227.3744,2157.695,0.166926,1.131,0.16067028,42.75259614
2.27788,227.788,1961.21449,0.148224,1.212,0.321277857,42.91320372
2.34324,234.324,1966.79965,0.12229,1.2,0.482619762,43.07454562
2.489936,248.9936,2009.17449,0.108056,1.224,0.161336899,43.23588443
2.250672,225.0672,1977.48442,0.158126,1.078,0.323037624,43.39758515
2.462456,246.2456,1924.80059,0.222614,1.212,0.48553586,43.56008339
2.637656,263.7656,1901.69219,0.214614,1.27,0.171628714,43.73171401
2.750648,275.0648,1960.43656,0.20934,1.294,0.338420153,43.89850545
2.530952,253.0952,1968.64431,0.193372,1.212,0.500938177,44.06102347
2.485208,248.5208,2022.1319,0.18269,1.217,0.170591354,44.23161697
0.719664,71.9664,2058.01414,0.185772,0.346,0.334986925,44.39601254
2.500928,250.0928,2161.02107,0.18182,1.25,0.499976397,44.56100202
2.154688,215.4688,2214.98441,0.175046,1.055,0.162940025,44.75660872
2.108848,210.8848,2320.34968,0.166492,1.038,0.325605154,44.91927385
2.731616,273.1616,2314.43039,0.154184,1.282,0.498307943,45.09197664
2.2538,225.38,2348.33481,0.15249,1.099,0.165802479,45.25778198
1.919128,191.9128,2495.60744,0.191818,0.923,0.32945919,45.42143869
2.607368,260.7368,2373.05029,0.230942,1.257,0.50407362,45.59605312
2.43204,243.204,2167.13715,0.218386,1.186,0.164187193,45.76024294
1.651016,165.1016,2201.87128,0.273568,0.789,0.337419271,45.93347502
2.554624,255.4624,2217.29999,0.324958,1.223,0.502080202,46.09813595
2.492512,249.2512,2250.14022,0.292962,1.2,0.174830437,46.27296901
2.582824,258.2824,2271.05413,0.271412,1.254,0.339271784,46.43741035
2.43612,243.612,2222.99785,0.258154,1.158,0.503691196,46.60182977
2.563616,256.3616,2103.52529,0.231142,1.216,0.171209574,46.77304149
2.498184,249.8184,2071.15801,0.214588,1.213,0.336257696,46.93808961
2.417688,241.7688,1931.1312,0.205492,1.207,0.51226759,47.1140995
1.325576,132.5576,2047.98788,0.238322,0.676,0.165789843,47.27989125
2.538456,253.8456,2051.8856,0.228294,1.212,0.339703798,47.45380521
2.506704,250.6704,2059.02041,0.2115,1.218,0.505712748,47.61981416
2.536192,253.6192,2016.50789,0.19833,1.275,0.17462635,47.79444242
2.665952,266.5952,2037.66953,0.187932,1.245,0.34040451,47.96022058
2.875248,287.5248,1970.40946,0.186186,1.395,0.514297962,48.13411403
2.720448,272.0448,2006.86181,0.170288,1.306,0.167733431,48.3018496
2.684608,268.4608,2052.48531,0.3452,1.296,0.340964794,48.47508097
2.707088,270.7088,2084.46158,0.387392,1.291,0.50899148,48.64310765
2.452024,245.2024,1955.0245,0.32965,1.3,0.171533823,48.81464362
2.706184,270.6184,1987.76517,0.27184,1.361,0.33831501,48.98142481
2.668856,266.8856,2006.88669,0.222594,1.317,0.512236118,49.15534592
3.233736,323.3736,2009.05486,0.218528,1.545,0.178612947,49.33396101
2.257264,225.7264,2091.91014,0.296036,1.306,0.347625017,49.50297308
2.206048,220.6048,2208.92203,0.240224,1.382,0.519747257,49.67509532
2.391784,239.1784,2265.50072,0.215134,1.333,0.16805768,49.84315491
2.23208,223.208,2345.90783,0.174258,1.352,0.340249777,50.015347
2.106304,210.6304,2520.75816,0.15538,1.355,0.518618107,50.19371533
2.523128,252.3128,2581.59262,0.179036,1.285,0.169082165,50.36279988
2.196472,219.6472,2635.96653,0.16303,1.336,0.342157841,50.53587556
2.468672,246.8672,2475.1442,0.145188,1.313,0.521847248,50.71556497
2.513592,251.3592,2570.34321,0.13743,1.362,0.17843771,50.89400506
2.103736,210.3736,2695.41497,0.250864,1.017,0.347516298,51.06308365
2.325968,232.5968,2768.94719,0.255248,1.326,0.520474672,51.23604202
2.095856,209.5856,2454.26429,0.210536,1.398,0.177896261,51.41394019
2.502992,250.2992,2391.02076,0.170536,1.32,0.347423553,51.58346748
2.5262,252.62,2331.68922,0.138854,1.371,0.520225525,51.75626945
2.376368,237.6368,2152.33637,0.127044,1.34,0.177827597,51.93409872
2.302472,230.2472,1798.10022,0.106648,1.307,0.357731342,52.11400247
3.018528,301.8528,1850.83151,0.088038,1.456,0.538012981,52.29428411
2.548616,254.8616,1872.42925,0.071764,1.251,0.180025101,52.47431087
2.819728,281.9728,1944.14499,0.066346,1.367,0.360077143,52.65436292
2.80288,280.288,1990.73865,0.064984,1.328,0.540029764,52.83431554
2.90436,290.436,1883.15553,0.078216,1.36,0.180039167,53.01435709
2.691016,269.1016,1959.65837,0.101354,1.26,0.360087395,53.19440532
2.063056,206.3056,2005.72088,0.134336,0.971,0.540338039,53.37465596
2.142608,214.2608,2183.92417,0.173832,1.044,0.172405958,53.58379769
2.580424,258.0424,2189.14856,0.18196,1.274,0.350590229,53.76198196
2.672136,267.2136,2212.5352,0.197996,1.271,0.529359341,53.94075108
2.384824,238.4824,2218.99907,0.213104,1.149,0.177402496,54.11815572
2.81328,281.328,2234.68892,0.2213,1.322,0.35751605,54.29826927
2.970144,297.0144,1160.44813,0.378254,1.435,0.537647724,54.47840095
2.616152,261.6152,2185.08566,0.35609,1.3,0.180008173,54.65841126
2.68344,268.344,2205.69777,0.326076,1.313,0.360039949,54.83844304
2.52324,252.324,2142.14578,0.267452,1.391,0.540436029,55.01883912
2.785944,278.5944,2217.19457,0.2173,1.401,0.179743052,55.19858408
2.580448,258.0448,2234.60065,0.176584,1.313,0.36162734,55.38046837
2.62316,262.316,2069.23814,0.144688,1.313,0.540440559,55.55928159
2.62248,262.248,2083.3682,0.129262,1.334,0.179955244,55.73923898
2.71936,271.936,2044.05939,0.106164,1.376,0.359876156,55.91915989
2.940472,294.0472,2049.03787,0.086252,1.393,0.540523767,56.0998075
2.825536,282.5536,2032.41718,0.075118,1.336,0.179601908,56.27941179
2.737728,273.7728,2078.96842,0.27292,1.289,0.359942913,56.4597528
2.632056,263.2056,2024.17031,0.305128,1.284,0.539825439,56.63963532
2.023776,202.3776,2159.71007,0.372452,0.974,0.180257797,56.81989527
1.96596,196.596,2298.00095,0.39896,0.998,0.360310316,56.99994779
